"timestamp","ORCHIDS","TRANSPORT_FEES","EXPORT_TARIFF","IMPORT_TARIFF","SUNLIGHT","HUMIDITY","DAY"
0,1200,1.5,10.5,-2,2500,79,-1
100,1201.75,1.5,9.5,-2,2499.4197,79.0041,-1
200,1201.75,1.5,9.5,-2,2498.8457,79.00821,-1
300,1201.75,1.5,9.5,-2,2498.278,79.01234,-1
400,1201.75,1.5,9.5,-2,2497.7166,79.01649,-1
500,1200.25,1.5,9.5,-2,2497.1614,79.02066,-1
600,1201.75,1.5,9.5,-2,2496.6125,79.02485,-1
700,1202.75,1.5,9.5,-2,2496.0698,79.02906,-1
800,1204.75,1.5,9.5,-2,2495.5334,79.03329,-1
900,1204.25,1.5,9.5,-2,2495.0032,79.03754,-1
1000,1203.25,1.5,9.5,-2,2494.4792,79.04181,-1
1100,1202.75,1.5,9.5,-2,2493.9614,79.0461,-1
1200,1201.75,1.5,9.5,-2,2493.45,79.0504,-1
1300,1199.75,1.5,9.5,-2,2492.9446,79.054726,-1
1400,1199.75,1.5,9.5,-2,2492.4453,79.05907,-1
1500,1199.75,1.5,9.5,-2,2491.9521,79.06343,-1
1600,1199.75,1.5,9.5,-2,2491.4653,79.06782,-1
1700,1198.25,1.5,9.5,-2,2490.9846,79.07222,-1
1800,1199.25,1.5,9.5,-2,2490.51,79.07664,-1
1900,1197.75,1.5,9.5,-2,2490.0415,79.08108,-1
2000,1197.75,1.5,9.5,-2,2489.579,79.08554,-1
2100,1197.75,1.5,9.5,-2,2489.123,79.09002,-1
2200,1198,1.5,9.5,-2,2488.6729,79.09451,-1
2300,1197.25,1.5,9.5,-2,2488.2288,79.09903,-1
2400,1196.25,1.5,9.5,-2,2487.7908,79.10357,-1
2500,1197.25,1.5,9.5,-2,2487.359,79.10812,-1
2600,1196.25,1.5,9.5,-2,2486.933,79.11269,-1
2700,1196.25,1.5,9.5,-2,2486.5134,79.11729,-1
2800,1197.25,1.4,9.5,-2,2486.0996,79.121895,-1
2900,1196.25,1.4,9.5,-2,2485.6921,79.126526,-1
3000,1196.75,1.4,9.5,-2,2485.2903,79.13118,-1
3100,1197.75,1.4,9.5,-2,2484.8948,79.13584,-1
3200,1198.75,1.4,9.5,-2,2484.5051,79.14053,-1
3300,1199.75,1.4,9.5,-2,2484.1216,79.14523,-1
3400,1199.75,1.4,9.5,-2,2483.744,79.149956,-1
3500,1199.5,1.4,9.5,-2,2483.3723,79.1547,-1
3600,1199.5,1.4,9.5,-2,2483.0066,79.15946,-1
3700,1199.75,1.4,9.5,-2,2482.647,79.164246,-1
3800,1199.25,1.4,9.5,-2,2482.2932,79.169044,-1
3900,1198.25,1.4,9.5,-2,2481.9453,79.17386,-1
4000,1199.25,1.4,9.5,-2,2481.6035,79.178696,-1
4100,1199.25,1.4,9.5,-2,2481.2676,79.18355,-1
4200,1199.75,1.4,9.5,-2,2480.9375,79.18842,-1
4300,1201.25,1.4,9.5,-2,2480.6133,79.19331,-1
4400,1201.75,1.4,9.5,-2,2480.2952,79.19823,-1
4500,1201.75,1.4,9.5,-2,2479.9827,79.203156,-1
4600,1201.75,1.4,9.5,-2,2479.6763,79.2081,-1
4700,1201.75,1.4,9.5,-2,2479.3755,79.213066,-1
4800,1201.25,1.4,9.5,-2,2479.0808,79.21805,-1
4900,1201.25,1.4,9.5,-2,2478.792,79.22305,-1
5000,1201,1.4,9.5,-2,2478.5088,79.22807,-1
5100,1200.25,1.4,9.5,-2,2478.2317,79.23311,-1
5200,1200.25,1.4,9.5,-2,2477.9602,79.23817,-1
5300,1200.75,1.4,9.5,-2,2477.6946,79.24324,-1
5400,1201,1.4,9.5,-2,2477.4348,79.24834,-1
5500,1201,1.4,9.5,-2,2477.181,79.25345,-1
5600,1200.25,1.4,9.5,-2,2476.9326,79.258575,-1
5700,1199.75,1.4,9.5,-2,2476.6902,79.263725,-1
5800,1198.25,1.4,9.5,-2,2476.4536,79.26889,-1
5900,1198.75,1.4,9.5,-2,2476.2227,79.27408,-1
6000,1197.75,1.4,9.5,-2,2475.9973,79.27928,-1
6100,1197.75,1.4,9.5,-2,2475.778,79.2845,-1
6200,1197.5,1.4,9.5,-2.2,2475.5642,79.28974,-1
6300,1197.25,1.4,9.5,-2.2,2475.3562,79.295,-1
6400,1199.25,1.4,9.5,-2.2,2475.154,79.30028,-1
6500,1199.75,1.4,9.5,-2.2,2474.9573,79.305565,-1
6600,1200,1.4,9.5,-2.2,2474.7666,79.31088,-1
6700,1200,1.4,9.5,-2.2,2474.5813,79.31621,-1
6800,1200,1.4,9.5,-2.2,2474.4016,79.321556,-1
6900,1201.25,1.4,9.5,-2.2,2474.2278,79.32692,-1
7000,1201,1.4,9.5,-2.2,2474.0596,79.332306,-1
7100,1199.75,1.4,9.5,-2.2,2473.897,79.33771,-1
7200,1198.75,1.4,9.5,-2.2,2473.74,79.343124,-1
7300,1200.25,1.4,9.5,-2.2,2473.5886,79.348564,-1
7400,1200.25,1.4,9.5,-2.2,2473.4429,79.35401,-1
7500,1200.5,1.4,9.5,-2.2,2473.3027,79.35949,-1
7600,1201.25,1.4,9.5,-2.2,2473.1682,79.364975,-1
7700,1198.75,1.4,9.5,-2.2,2473.0393,79.37048,-1
7800,1198.75,1.4,9.5,-2.2,2472.916,79.376015,-1
7900,1199.25,1.4,9.5,-2.2,2472.7983,79.38155,-1
8000,1199.25,1.4,9.5,-2.2,2472.686,79.387115,-1
8100,1199.5,1.4,9.5,-2.2,2472.5793,79.39269,-1
8200,1200.75,1.4,9.5,-2.2,2472.4783,79.39829,-1
8300,1199.25,1.4,9.5,-2.2,2472.3826,79.40391,-1
8400,1199,1.4,9.5,-2.2,2472.2925,79.40954,-1
8500,1199.25,1.4,9.5,-2.2,2472.2078,79.415184,-1
8600,1198.25,1.4,9.5,-2.2,2472.1287,79.42085,-1
8700,1197.75,1.4,9.5,-2.2,2472.0552,79.42654,-1
8800,1196.75,1.4,9.5,-2.2,2471.987,79.432236,-1
8900,1197,1.4,9.5,-2.2,2471.9243,79.43796,-1
9000,1197,1.4,9.5,-2.2,2471.8672,79.443695,-1
9100,1196.75,1.4,9.5,-2.2,2471.8154,79.44945,-1
9200,1197,1.4,9.5,-2.2,2471.7693,79.455215,-1
9300,1197.75,1.4,9.5,-2.2,2471.7285,79.461006,-1
9400,1197.75,1.4,9.5,-2.2,2471.6929,79.46681,-1
9500,1197.5,1.4,9.5,-2.2,2471.663,79.47263,-1
9600,1195.75,1.4,9.5,-2.2,2471.6384,79.47848,-1
9700,1197.25,1.4,9.5,-2.2,2471.6191,79.48434,-1
9800,1197.75,1.4,9.5,-2.2,2471.6055,79.49021,-1
9900,1197.25,1.4,9.5,-2.2,2471.597,79.4961,-1
10000,1198.75,1.4,9.5,-2.2,2471.594,79.502014,-1
10100,1198.25,1.4,9.5,-2.2,2471.5962,79.50794,-1
10200,1198.5,1.4,9.5,-2.2,2471.604,79.513885,-1
10300,1199.75,1.3,9.5,-2.2,2471.617,79.519844,-1
10400,1200.75,1.3,9.5,-2.2,2471.6353,79.525826,-1
10500,1201.25,1.3,9.5,-2.2,2471.659,79.53182,-1
10600,1200.25,1.3,9.5,-2.2,2471.6877,79.537834,-1
10700,1200.75,1.3,9.5,-2.2,2471.7222,79.54386,-1
10800,1202.25,1.3,9.5,-2.2,2471.7617,79.54991,-1
10900,1201.25,1.3,9.5,-2.2,2471.8066,79.55597,-1
11000,1202.75,1.3,9.5,-2.2,2471.8567,79.56206,-1
11100,1203.75,1.3,9.5,-2.2,2471.912,79.56815,-1
11200,1203.75,1.3,9.5,-2.2,2471.9727,79.574265,-1
11300,1203.75,1.3,9.5,-2.2,2472.0386,79.5804,-1
11400,1204.75,1.3,9.5,-2.2,2472.1099,79.58655,-1
11500,1204.25,1.3,9.5,-2.2,2472.186,79.59271,-1
11600,1204.75,1.3,9.5,-2.2,2472.2676,79.59889,-1
11700,1204.25,1.3,9.5,-2.2,2472.3545,79.605095,-1
11800,1204.75,1.3,9.5,-2.2,2472.4465,79.611305,-1
11900,1205.75,1.3,9.5,-2.2,2472.5437,79.61754,-1
12000,1205.25,1.3,9.5,-2.2,2472.646,79.623795,-1
12100,1205.75,1.3,9.5,-2.2,2472.7537,79.63006,-1
12200,1205.75,1.3,9.5,-2.2,2472.8662,79.63634,-1
12300,1208.25,1.3,9.5,-2.2,2472.9841,79.64264,-1
12400,1209.25,1.3,9.5,-2.2,2473.1072,79.64896,-1
12500,1209.25,1.3,9.5,-2.2,2473.2354,79.65529,-1
12600,1210.25,1.3,9.5,-2.2,2473.3687,79.66164,-1
12700,1211.25,1.3,9.5,-2.2,2473.5068,79.66801,-1
